improvised_melody,Ode to joy,humanlike,knowledge,usage
5,5,5,none,
1,2,2,amateur,4.0
4,5,5,amateur,4.0
2,3,1,none,
4,2,3,amateur,2.0
3,2,4,amateur,4.0
2,5,5,none,
5,5,4,amateur,4.0
5,5,5,amateur,4.0
5,5,5,professional,3.0
4,2,4,academic studies ongoing,4.0
4,4,1,none,
4,3,5,professional,3.0
1,4,1,academic studies ongoing,2.0
4,5,5,none,
3,4,4,amateur,0.0
3,3,4,amateur,4.0
4,3,4,academic studies ongoing,2.0
4,3,3,amateur,4.0
1,2,1,amateur,2.0
3,4,1,none,
4,3,4,academic studies ongoing,3.0
3,3,5,amateur,4.0
1,0,1,amateur,0.0
4,5,5,amateur,5.0
4,5,4,none,
4,2,4,none,
5,4,5,academic studies ongoing,5.0
1,1,2,none,
2,3,3,amateur,2.0
3,2,4,amateur,3.0
4,5,4,amateur,5.0
2,3,0,none,
1,1,1,none,
3,4,5,none,
4,2,1,amateur,3.0
3,2,4,none,
2,4,2,none,
4,4,2,none,
4,2,3,amateur,2.0
2,3,2,academic studies ongoing,2.0
4,3,4,academic studies ongoing,2.0
3,4,4,amateur,4.0
4,3,3,none,
2,3,4,amateur,3.0
2,2,2,amateur,1.0
